,"1? Periodo (01/03/2021-30/11/2021)
(N=42)","2? Periodo (01/12/2021-28/02/2022)
(N=123)","3? Periodo (01/03/2022-15/07/2022)
(N=181)","Total
(N=346)"
"Ambulatorio","17 (40.5%)","77 (62.6%)","121 (66.9%)","215 (62.1%)"
"Ingreso hospitalario","24 (57.1%)","45 (36.6%)","59 (32.6%)","128 (37.0%)"
"Missing","1 (2.4%)","1 (0.8%)","1 (0.6%)","3 (0.9%)"
"covida_gravedad",,,,
"GRAVE","9 (21.4%)","7 (5.7%)","4 (2.2%)","20 (5.8%)"
"LEVE","27 (64.3%)","101 (82.1%)","159 (87.8%)","287 (82.9%)"
"MODERADO","6 (14.3%)","15 (12.2%)","17 (9.4%)","38 (11.0%)"
"Missing","0 (0%)","0 (0%)","1 (0.6%)","1 (0.3%)"
"covida_gravedad_simplified",,,,
"ALTA","9 (21.4%)","7 (5.7%)","4 (2.2%)","20 (5.8%)"
"BAJA","33 (78.6%)","116 (94.3%)","176 (97.2%)","325 (93.9%)"
"Missing","0 (0%)","0 (0%)","1 (0.6%)","1 (0.3%)"
"covida_gravedad_maxima",,,,
"CRÍTICO","9 (21.4%)","19 (15.4%)","9 (5.0%)","37 (10.7%)"
"GRAVE","8 (19.0%)","11 (8.9%)","9 (5.0%)","28 (8.1%)"
"LEVE","19 (45.2%)","77 (62.6%)","145 (80.1%)","241 (69.7%)"
"MODERADO","6 (14.3%)","16 (13.0%)","17 (9.4%)","39 (11.3%)"
"Missing","0 (0%)","0 (0%)","1 (0.6%)","1 (0.3%)"
"covida_gravedad_maxima_simplified",,,,
"ALTA","17 (40.5%)","30 (24.4%)","18 (9.9%)","65 (18.8%)"
"BAJA","25 (59.5%)","93 (75.6%)","162 (89.5%)","280 (80.9%)"
"Missing","0 (0%)","0 (0%)","1 (0.6%)","1 (0.3%)"
"dem_ultimoseguimiento",,,,
"Muerto por COVID-19","10 (23.8%)","13 (10.6%)","4 (2.2%)","27 (7.8%)"
"Muerto por otras causas","1 (2.4%)","5 (4.1%)","7 (3.9%)","13 (3.8%)"
"Vivo","31 (73.8%)","105 (85.4%)","170 (93.9%)","306 (88.4%)"
"dem_ultimoseguimiento_simplified",,,,
"Muerto","11 (26.2%)","18 (14.6%)","11 (6.1%)","40 (11.6%)"
"Vivo","31 (73.8%)","105 (85.4%)","170 (93.9%)","306 (88.4%)"
"dem_vac_sino",,,,
"NO","6 (14.3%)","7 (5.7%)","6 (3.3%)","19 (5.5%)"
"SI","28 (66.7%)","99 (80.5%)","162 (89.5%)","289 (83.5%)"
"Missing","8 (19.0%)","17 (13.8%)","13 (7.2%)","38 (11.0%)"
"xt_PAXLOVID",,,,
"No","33 (78.6%)","105 (85.4%)","121 (66.9%)","259 (74.9%)"
"Si","0 (0%)","0 (0%)","55 (30.4%)","55 (15.9%)"
"Missing","9 (21.4%)","18 (14.6%)","5 (2.8%)","32 (9.2%)"
"xt_remdesivir",,,,
"No","30 (71.4%)","88 (71.5%)","125 (69.1%)","243 (70.2%)"
"Si","4 (9.5%)","19 (15.4%)","51 (28.2%)","74 (21.4%)"
"Missing","8 (19.0%)","16 (13.0%)","5 (2.8%)","29 (8.4%)"
"xt_corticoides",,,,
"No","13 (31.0%)","72 (58.5%)","148 (81.8%)","233 (67.3%)"
"Si","21 (50.0%)","41 (33.3%)","26 (14.4%)","88 (25.4%)"
"Missing","8 (19.0%)","10 (8.1%)","7 (3.9%)","25 (7.2%)"
"covidi_reinfeccion",,,,
"No","32 (76.2%)","100 (81.3%)","118 (65.2%)","250 (72.3%)"
"Si","3 (7.1%)","8 (6.5%)","1 (0.6%)","12 (3.5%)"
"Missing","7 (16.7%)","15 (12.2%)","62 (34.3%)","84 (24.3%)"
